[2024-07-06 19:47:31,928: INFO: main: Welcome to LOG]
[2024-07-06 19:49:26,594: INFO: main: Welcome to LOG]
[2024-07-06 19:51:39,398: INFO: main: Welcome to LOG]
[2024-07-06 23:00:32,892: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-06 23:00:32,901: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-06 23:00:32,904: INFO: common: created directory at: artifacts]
[2024-07-06 23:00:32,906: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-06 23:00:32,908: INFO: 3172177572: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-07-06 23:00:57,924: INFO: 3172177572: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-07-06 23:26:24,326: INFO: main: Welcome to LOG]
[2024-07-06 23:26:45,983: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-07-06 23:26:45,987: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-06 23:26:45,988: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-06 23:26:45,988: INFO: common: created directory at: artifacts]
[2024-07-06 23:26:45,989: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-06 23:26:45,990: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-07-06 23:27:37,293: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-07-06 23:27:38,184: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-07-07 00:19:53,969: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-07 00:19:54,087: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-07 00:19:54,093: INFO: common: created directory at: artifacts]
[2024-07-07 00:19:54,095: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-07-07 01:26:22,703: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-07 01:26:22,715: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-07 01:26:22,719: INFO: common: created directory at: artifacts]
[2024-07-07 01:26:22,723: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-07-07 01:26:40,234: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-07 01:26:40,239: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-07 01:26:40,241: INFO: common: created directory at: artifacts]
[2024-07-07 01:26:40,243: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-07-07 01:27:27,818: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-07 01:27:27,823: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-07 01:27:27,825: INFO: common: created directory at: artifacts]
[2024-07-07 01:27:27,828: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-07-07 01:28:37,015: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-07 01:28:37,022: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-07 01:28:37,024: INFO: common: created directory at: artifacts]
[2024-07-07 01:28:37,027: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-07-07 01:32:11,173: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-07 01:32:11,188: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-07 01:32:11,191: INFO: common: created directory at: artifacts]
[2024-07-07 01:32:11,194: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-07-07 01:32:33,897: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-07-07 01:48:27,490: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-07-07 01:48:27,496: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-07 01:48:27,498: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-07 01:48:27,499: INFO: common: created directory at: artifacts]
[2024-07-07 01:48:27,499: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-07 01:48:27,500: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-07-07 01:48:50,033: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-07-07 01:48:50,599: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-07-07 01:48:50,600: INFO: main: *******************]
[2024-07-07 01:48:50,600: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2024-07-07 01:48:50,604: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-07 01:48:50,607: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-07 01:48:50,608: INFO: common: created directory at: artifacts]
[2024-07-07 01:48:50,608: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-07-07 01:48:51,169: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-07-07 01:48:51,422: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

